Variety,Replication,Susc_Check,Tol_Score
Variety - 1,Rep-1,15,22
Variety - 2,Rep-1,16,14
Variety - 3,Rep-1,15,24
Variety - 4,Rep-1,16,13
Variety - 5,Rep-1,17,17
Variety - 6,Rep-1,16,14
Variety - 7,Rep-1,16,13
Variety - 8,Rep-1,16,16
Variety - 9,Rep-1,17,14
Variety - 10,Rep-1,17,17
Variety - 11,Rep-1,16,15
Variety - 12,Rep-1,16,15
Variety - 13,Rep-1,15,24
Variety - 14,Rep-1,15,25
Variety - 15,Rep-1,15,24
Variety - 1,Rep-2,16,13
Variety - 2,Rep-2,15,23
Variety - 3,Rep-2,15,24
Variety - 4,Rep-2,15,23
Variety - 5,Rep-2,17,16
Variety - 6,Rep-2,15,23
Variety - 7,Rep-2,15,23
Variety - 8,Rep-2,17,17
Variety - 9,Rep-2,15,23
Variety - 10,Rep-2,17,17
Variety - 11,Rep-2,15,24
Variety - 12,Rep-2,15,23
Variety - 13,Rep-2,15,24
Variety - 14,Rep-2,15,24
Variety - 15,Rep-2,15,25
Variety - 1,Rep-3,16,14
Variety - 2,Rep-3,15,23
Variety - 3,Rep-3,15,23
Variety - 4,Rep-3,15,23
Variety - 5,Rep-3,16,16
Variety - 6,Rep-3,15,23
Variety - 7,Rep-3,16,13
Variety - 8,Rep-3,16,16
Variety - 9,Rep-3,15,24
Variety - 10,Rep-3,15,26
Variety - 11,Rep-3,15,25
Variety - 12,Rep-3,15,23
Variety - 13,Rep-3,16,15
Variety - 14,Rep-3,15,23
Variety - 15,Rep-3,16,16
